Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
Haleakala Optical,25544,2018-09-17T15:21:40Z,2018-09-17T15:23:50Z,2018-09-17T15:22:50Z,2018-09-17T15:22:50Z,857,24
Haleakala Optical,25544,2018-09-19T05:24:30Z,2018-09-19T05:27:30Z,2018-09-19T05:26:30Z,2018-09-19T05:26:30Z,517,50
Haleakala Optical,25544,2018-09-19T15:13:20Z,2018-09-19T15:17:20Z,2018-09-19T15:15:30Z,2018-09-19T15:15:30Z,410,76
Haleakala Optical,25544,2018-09-20T14:24:40Z,2018-09-20T14:24:50Z,2018-09-20T14:24:40Z,2018-09-20T14:24:40Z,887,23
Haleakala Optical,25544,2018-09-21T05:17:10Z,2018-09-21T05:20:40Z,2018-09-21T05:18:50Z,2018-09-21T05:18:50Z,630,38
Zimmerwald Optical,25544,2018-09-23T19:10:00Z,2018-09-23T19:11:50Z,2018-09-23T19:11:50Z,2018-09-23T19:11:50Z,478,58
