Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
PSU Falcon,90001,2018-09-02T03:20:00Z,2018-09-02T03:20:00Z,2018-09-02T03:20:00Z,2018-09-02T03:20:00Z,1672,11
PSU Falcon,90001,2018-09-03T03:01:00Z,2018-09-03T03:01:00Z,2018-09-03T03:01:00Z,2018-09-03T03:01:00Z,1522,13
NJC Falcon,90001,2018-09-03T04:36:00Z,2018-09-03T04:36:00Z,2018-09-03T04:36:00Z,2018-09-03T04:36:00Z,1611,12
PSU Falcon,90001,2018-09-04T02:42:00Z,2018-09-04T02:42:00Z,2018-09-04T02:42:00Z,2018-09-04T02:42:00Z,1452,15
NJC Falcon,90001,2018-09-04T04:17:00Z,2018-09-04T04:17:00Z,2018-09-04T04:17:00Z,2018-09-04T04:17:00Z,1573,12
PSU Falcon,90001,2018-09-05T02:23:00Z,2018-09-05T02:23:00Z,2018-09-05T02:23:00Z,2018-09-05T02:23:00Z,1474,14
PSU Falcon,90001,2018-09-06T02:04:00Z,2018-09-06T02:04:00Z,2018-09-06T02:04:00Z,2018-09-06T02:04:00Z,1582,12
UNSW Falcon,90001,2018-11-19T12:50:00Z,2018-11-19T12:50:00Z,2018-11-19T12:50:00Z,2018-11-19T12:50:00Z,1587,13
UNSW Falcon,90001,2018-11-20T12:31:00Z,2018-11-20T12:31:00Z,2018-11-20T12:31:00Z,2018-11-20T12:31:00Z,1506,14
UNSW Falcon,90001,2018-11-21T12:12:00Z,2018-11-21T12:12:00Z,2018-11-21T12:12:00Z,2018-11-21T12:12:00Z,1531,14
UNSW Falcon,90001,2018-11-22T11:53:00Z,2018-11-22T11:53:00Z,2018-11-22T11:53:00Z,2018-11-22T11:53:00Z,1657,11
UNSW Falcon,90001,2018-11-23T13:09:00Z,2018-11-23T13:09:00Z,2018-11-23T13:09:00Z,2018-11-23T13:09:00Z,1579,13
UNSW Falcon,90001,2018-11-24T12:49:00Z,2018-11-24T12:50:00Z,2018-11-24T12:50:00Z,2018-11-24T12:50:00Z,1368,17
UNSW Falcon,90001,2018-11-25T12:30:00Z,2018-11-25T12:31:00Z,2018-11-25T12:31:00Z,2018-11-25T12:31:00Z,1258,19
UNSW Falcon,90001,2018-11-26T12:11:00Z,2018-11-26T12:12:00Z,2018-11-26T12:12:00Z,2018-11-26T12:12:00Z,1277,19
UNSW Falcon,90001,2018-11-27T11:53:00Z,2018-11-27T11:53:00Z,2018-11-27T11:53:00Z,2018-11-27T11:53:00Z,1422,16
UNSW Falcon,90001,2018-11-28T11:34:00Z,2018-11-28T11:34:00Z,2018-11-28T11:34:00Z,2018-11-28T11:34:00Z,1660,11
UNSW Falcon,90001,2018-11-28T13:08:00Z,2018-11-28T13:08:00Z,2018-11-28T13:08:00Z,2018-11-28T13:08:00Z,1673,11
Perth Falcon,90001,2018-11-28T14:43:00Z,2018-11-28T14:43:00Z,2018-11-28T14:43:00Z,2018-11-28T14:43:00Z,1712,10
