Site ID,Transit ID,Object ID,Start [UTC],Stop [UTC],Duration [sec],TCA [UTC],TME [UTC],Minumum Range [km],Maximum Elevation [deg],UTC Times,Azimuth [deg],Elevation [deg],Range [km]
Site 1,Site 1_0000000001,25544,2020-04-11 21:25:50,2020-04-11 21:36:10,620.0,2020-04-11 21:31:00,2020-04-11 21:31:00,855.3539763756805,27.22033462126888,"['2020-04-11 21:25:50', '2020-04-11 21:26:00', '2020-04-11 21:26:10', '2020-04-11 21:26:20', '2020-04-11 21:26:30', '2020-04-11 21:26:40', '2020-04-11 21:26:50', '2020-04-11 21:27:00', '2020-04-11 21:27:10', '2020-04-11 21:27:20', '2020-04-11 21:27:30', '2020-04-11 21:27:40', '2020-04-11 21:27:50', '2020-04-11 21:28:00', '2020-04-11 21:28:10', '2020-04-11 21:28:20', '2020-04-11 21:28:30', '2020-04-11 21:28:40', '2020-04-11 21:28:50', '2020-04-11 21:29:00', '2020-04-11 21:29:10', '2020-04-11 21:29:20', '2020-04-11 21:29:30', '2020-04-11 21:29:40', '2020-04-11 21:29:50', '2020-04-11 21:30:00', '2020-04-11 21:30:10', '2020-04-11 21:30:20', '2020-04-11 21:30:30', '2020-04-11 21:30:40', '2020-04-11 21:30:50', '2020-04-11 21:31:00', '2020-04-11 21:31:10', '2020-04-11 21:31:20', '2020-04-11 21:31:30', '2020-04-11 21:31:40', '2020-04-11 21:31:50', '2020-04-11 21:32:00', '2020-04-11 21:32:10', '2020-04-11 21:32:20', '2020-04-11 21:32:30', '2020-04-11 21:32:40', '2020-04-11 21:32:50', '2020-04-11 21:33:00', '2020-04-11 21:33:10', '2020-04-11 21:33:20', '2020-04-11 21:33:30', '2020-04-11 21:33:40', '2020-04-11 21:33:50', '2020-04-11 21:34:00', '2020-04-11 21:34:10', '2020-04-11 21:34:20', '2020-04-11 21:34:30', '2020-04-11 21:34:40', '2020-04-11 21:34:50', '2020-04-11 21:35:00', '2020-04-11 21:35:10', '2020-04-11 21:35:20', '2020-04-11 21:35:30', '2020-04-11 21:35:40', '2020-04-11 21:35:50', '2020-04-11 21:36:00', '2020-04-11 21:36:10', '2020-04-11 21:36:10']","[212.7258421634256, 212.11042748314995, 211.46111319698662, 210.77484529875875, 210.0482054161213, 209.2773680922395, 208.45805328184443, 207.58544133454365, 206.6541047126444, 205.65793203362588, 204.5900045442207, 203.44249083821705, 202.2065318103299, 200.87206777316862, 199.42769162548097, 197.86049936536304, 196.1558774800248, 194.29739527783627, 192.26663616194813, 190.04316775460777, 187.60465835016063, 184.9271302081582, 181.9856293457679, 178.7554077526691, 175.2136668541298, 171.34223414116997, 167.1311583707541, 162.58289237162782, 157.71679877604325, 152.57284546810243, 147.21289170906516, 141.71860237628047, 136.1853024315665, 130.7124017769008, 125.39296993684542, 120.30489941713766, 115.50541094572381, 111.02981838468045, 106.8935833158458, 103.09610514290053, 99.62535046789655, 96.46189271178231, 93.58231892058899, 90.96171797483551, 88.57526737667055, 86.3992946320196, 84.4118621060302, 82.59296561295679, 80.92461548022759, 79.39078620844329, 77.97724380934457, 76.67140550568202, 75.46218212349656, 74.33977952653846, 73.29555975602416, 72.32190997182825, 71.41209032475028, 70.56013560309704, 69.76076613938619, 69.0092789987934, 68.30149824568228, 67.63369128749163, 67.00252043702494, 67.00252043702494]","[0.37334657912202757, 0.9695190791439164, 1.5812212992731842, 2.2096057711635795, 2.8559294852422044, 3.521552797201423, 4.207936095030024, 4.916659234415204, 5.649414615805357, 6.407994524560589, 7.194299250353799, 8.01031021036704, 8.858048183030203, 9.739543366832814, 10.65675110442102, 11.611430191056797, 12.605011661267483, 13.63834749885409, 14.71143562916084, 15.823002667842951, 16.96995949132968, 18.14675859250633, 19.344574294462806, 20.550379122468893, 21.74605609433019, 22.907638689029106, 24.005007285715465, 25.002458858524978, 25.86045118033341, 26.53880313579749, 27.001216270842324, 27.22033462126888, 27.182175278054768, 26.888600633846956, 26.35699605532525, 25.617288669071524, 24.707239373214534, 23.66739129373413, 22.536817895833277, 21.35018953891134, 20.136343503740004, 18.91792861766033, 17.711845482345716, 16.530073296423012, 15.380576241118602, 14.26821806292968, 13.195559185097986, 12.163472481492603, 11.171661742659186, 10.219056106393415, 9.304069876244073, 8.424820681330193, 7.579285151309825, 6.76537879439656, 5.981035494722967, 5.224261010108305, 4.493141738731654, 3.785870438038418, 3.100761838423477, 2.436234730238323, 1.7908330346775516, 1.1632011957021886, 0.5520884742765582, 0.5520884742765582]","[2363.0595774403005, 2298.454358246024, 2234.0784787380585, 2169.961052050287, 2106.1335530584215, 2042.6310494703464, 1979.4934852199087, 1916.7647556832087, 1854.494191096732, 1792.738128638327, 1731.5593748614842, 1671.0290938961145, 1611.2288378264273, 1552.250604576066, 1494.199336699874, 1437.1956145197476, 1381.3763049238491, 1326.8989256097966, 1273.9428159004187, 1222.712730250932, 1173.442298746063, 1126.3953696445687, 1081.8685473868934, 1040.1922740600835, 1001.7282499894699, 966.8654771516091, 936.0119995314074, 909.5805273270388, 887.9702101960972, 871.5436114029185, 860.6005712566272, 855.3539763756805, 855.9103632552225, 862.2595177959162, 874.2756820692499, 891.7294242775058, 914.3085159615309, 941.6430068742059, 973.3300561660094, 1008.957382757946, 1048.119994251607, 1090.4337694682142, 1135.5429077894837, 1183.1232608569476, 1232.8844903139175, 1284.5686999922034, 1337.9477357888484, 1392.8217827230947, 1449.015884063126, 1506.376364205882, 1564.7694710844983, 1624.0782332024028, 1684.1995030487028, 1745.0434313978349, 1806.5310571071539, 1868.5920734496904, 1931.1650389219235, 1994.1955499765838, 2057.6345323149376, 2121.4392308039983, 2185.5704032887916, 2249.9936737534413, 2314.6781085747043, 2314.6781085747043]"
Site 1,Site 1_0000000002,40146,2020-04-11 21:24:00,2020-04-11 21:40:00,960.0,2020-04-11 21:40:00,2020-04-11 21:24:00,38293.299655177085,33.59062353618104,"['2020-04-11 21:24:00', '2020-04-11 21:24:10', '2020-04-11 21:24:20', '2020-04-11 21:24:30', '2020-04-11 21:24:40', '2020-04-11 21:24:50', '2020-04-11 21:25:00', '2020-04-11 21:25:10', '2020-04-11 21:25:20', '2020-04-11 21:25:30', '2020-04-11 21:25:40', '2020-04-11 21:25:50', '2020-04-11 21:26:00', '2020-04-11 21:26:10', '2020-04-11 21:26:20', '2020-04-11 21:26:30', '2020-04-11 21:26:40', '2020-04-11 21:26:50', '2020-04-11 21:27:00', '2020-04-11 21:27:10', '2020-04-11 21:27:20', '2020-04-11 21:27:30', '2020-04-11 21:27:40', '2020-04-11 21:27:50', '2020-04-11 21:28:00', '2020-04-11 21:28:10', '2020-04-11 21:28:20', '2020-04-11 21:28:30', '2020-04-11 21:28:40', '2020-04-11 21:28:50', '2020-04-11 21:29:00', '2020-04-11 21:29:10', '2020-04-11 21:29:20', '2020-04-11 21:29:30', '2020-04-11 21:29:40', '2020-04-11 21:29:50', '2020-04-11 21:30:00', '2020-04-11 21:30:10', '2020-04-11 21:30:20', '2020-04-11 21:30:30', '2020-04-11 21:30:40', '2020-04-11 21:30:50', '2020-04-11 21:31:00', '2020-04-11 21:31:10', '2020-04-11 21:31:20', '2020-04-11 21:31:30', '2020-04-11 21:31:40', '2020-04-11 21:31:50', '2020-04-11 21:32:00', '2020-04-11 21:32:10', '2020-04-11 21:32:20', '2020-04-11 21:32:30', '2020-04-11 21:32:40', '2020-04-11 21:32:50', '2020-04-11 21:33:00', '2020-04-11 21:33:10', '2020-04-11 21:33:20', '2020-04-11 21:33:30', '2020-04-11 21:33:40', '2020-04-11 21:33:50', '2020-04-11 21:34:00', '2020-04-11 21:34:10', '2020-04-11 21:34:20', '2020-04-11 21:34:30', '2020-04-11 21:34:40', '2020-04-11 21:34:50', '2020-04-11 21:35:00', '2020-04-11 21:35:10', '2020-04-11 21:35:20', '2020-04-11 21:35:30', '2020-04-11 21:35:40', '2020-04-11 21:35:50', '2020-04-11 21:36:00', '2020-04-11 21:36:10', '2020-04-11 21:36:20', '2020-04-11 21:36:30', '2020-04-11 21:36:40', '2020-04-11 21:36:50', '2020-04-11 21:37:00', '2020-04-11 21:37:10', '2020-04-11 21:37:20', '2020-04-11 21:37:30', '2020-04-11 21:37:40', '2020-04-11 21:37:50', '2020-04-11 21:38:00', '2020-04-11 21:38:10', '2020-04-11 21:38:20', '2020-04-11 21:38:30', '2020-04-11 21:38:40', '2020-04-11 21:38:50', '2020-04-11 21:39:00', '2020-04-11 21:39:10', '2020-04-11 21:39:20', '2020-04-11 21:39:30', '2020-04-11 21:39:40', '2020-04-11 21:39:50', '2020-04-11 21:40:00', '2020-04-11 21:40:00']","[60.08895193615954, 60.08892567412351, 60.08889943150295, 60.08887320852488, 60.088847004989624, 60.088820821119995, 60.08879465682904, 60.08876851202042, 60.08874238692063, 60.08871628143769, 60.088690195480595, 60.08866412927324, 60.08863808272019, 60.08861205573544, 60.088586048540606, 60.08856006104073, 60.08853409314995, 60.088508145087715, 60.08848221676393, 60.08845630808866, 60.088430419281906, 60.088404550253976, 60.088378700914966, 60.088352871484986, 60.08832706187372, 60.0883012719907, 60.0882755020593, 60.08824975188277, 60.088224021680226, 60.08819831136645, 60.08817262084787, 60.08814695034327, 60.088121299767295, 60.08809566902561, 60.088070058340165, 60.08804446762064, 60.08801889677801, 60.087993346030004, 60.08796781528782, 60.08794230446258, 60.08791681377294, 60.087891343125996, 60.08786589243741, 60.08784046192225, 60.08781505149219, 60.08778966105913, 60.087764290838855, 60.08773879395408, 60.087713610684325, 60.087688300877545, 60.08766301113354, 60.08763774166663, 60.08761249239262, 60.087587263219994, 60.08756205436341, 60.08753686573902, 60.08751169725552, 60.08748654912692, 60.087461421269516, 60.087436313591304, 60.087411226309456, 60.08738615933527, 60.087361112582215, 60.08733608626343, 60.087311080290846, 60.08728609457873, 60.08726112933914, 60.08723618448535, 60.08721125993047, 60.087186355887, 60.08716161895653, 60.08713660898737, 60.08711176625649, 60.087086943888195, 60.08706214209801, 60.08703736079537, 60.087012599894436, 60.086987859608435, 60.08696313985146, 60.0869384405348, 60.0869137618685, 60.08688910377105, 60.086864466152626, 60.08683984922256, 60.086815252899804, 60.086790677093205, 60.08676612201594, 60.086741587581265, 60.08671707370418, 60.08669258059268, 60.08666810816199, 60.08664365632705, 60.08661922529602, 60.08659481488473, 60.08657042530536, 60.08654605646822, 60.08652170828957, 60.08652170828957]","[33.59062353618104, 33.59059663403804, 33.59056972809816, 33.59054281859013, 33.59051590531394, 33.59048898850208, 33.59046206805595, 33.590435143886126, 33.590408216221164, 33.590381284967464, 33.59035435003066, 33.59032741164144, 33.590300469709554, 33.590273524136116, 33.59024657515356, 33.59021962267135, 33.590192666590596, 33.590165707145445, 33.590138744240896, 33.59011177778207, 33.59008480800215, 33.590057834806, 33.59003085809882, 33.59000387811333, 33.589976894755104, 33.58994990793007, 33.589922917867455, 33.58989592436709, 33.589868927661925, 33.58984192765303, 33.5898149242495, 33.58978791768426, 33.589760907858604, 33.58973389468256, 33.589706878385634, 33.589679858874014, 33.589652836052835, 33.589625810155205, 33.58959878108601, 33.58957174875049, 33.58954471338039, 33.58951767488469, 33.589490633164445, 33.589463588454464, 33.58943654065949, 33.58940948968436, 33.58938243576276, 33.58935551662107, 33.58932831869924, 33.58930125569577, 33.589274189584614, 33.589247120600156, 33.58922004864374, 33.58919297362381, 33.58916589577406, 33.58913881499563, 33.58911173119698, 33.58908464461193, 33.58905755514175, 33.58903046269565, 33.589003367504105, 33.588976269473235, 33.58894916850728, 33.588922064840084, 33.588894958377324, 33.588867849022684, 33.58884073701063, 33.58881362224569, 33.58878650463285, 33.58875938440569, 33.58873212353982, 33.58870513572771, 33.58867800741548, 33.58865087632882, 33.5886237426978, 33.588596606431025, 33.588569467432926, 33.58854232593533, 33.58851518184262, 33.58848803506212, 33.58846088582817, 33.58843373404126, 33.588406579609924, 33.58837942276873, 33.588352263417875, 33.58832510146735, 33.588297937147686, 33.588270770364616, 33.58824360102249, 33.58821642935629, 33.58818925527005, 33.588162078668404, 33.588134899785715, 33.58810771841804, 33.58808053479562, 33.588053348827465, 33.58802616041726, 33.58802616041726]","[38293.68072387688, 38293.67667306184, 38293.672623876424, 38293.668576355514, 38293.66453046856, 38293.66048625009, 38293.656443686414, 38293.65240276298, 38293.648363514694, 38293.64432592742, 38293.64028998707, 38293.63625572835, 38293.632223136796, 38293.62819219878, 38293.62416294875, 38293.62013537234, 38293.61610945591, 38293.612085233755, 38293.608062691885, 38293.60404181631, 38293.600022641396, 38293.59600515319, 38293.591989337714, 38293.5879752293, 38293.58396281395, 38293.57995207767, 38293.575943055046, 38293.57193571574, 38293.56793009402, 38293.563926176255, 38293.55992394822, 38293.55592344413, 38293.55192465039, 38293.54792755271, 38293.54393218551, 38293.539938534865, 38293.53594658679, 38293.53195637549, 38293.52796788709, 38293.523981107675, 38293.519996071496, 38293.51601276435, 38293.512031172686, 38293.508051330435, 38293.50407322378, 38293.50009683889, 38293.496122209755, 38293.49213761144, 38293.4881781635, 38293.48420876647, 38293.48024110182, 38293.47627520334, 38293.47231105753, 38293.46834865035, 38293.464388015636, 38293.460429139916, 38293.45647200914, 38293.452516657126, 38293.44856307044, 38293.444611234896, 38293.440661184606, 38293.43671290575, 38293.43276638457, 38293.42882165485, 38293.424878702805, 38293.42093751476, 38293.41699812444, 38293.41306051811, 38293.40912468204, 38293.405190649966, 38293.40127010342, 38293.39732794294, 38293.39339928796, 38293.38947241363, 38293.385547353915, 38293.381624094785, 38293.37770262261, 38293.37378297116, 38293.3698651268, 38293.36594907567, 38293.36203485124, 38293.35812244026, 38293.35421182878, 38293.350303050225, 38293.34639609135, 38293.3424909381, 38293.33858762425, 38293.33468613606, 38293.330786459985, 38293.326888629366, 38293.32299263063, 38293.319098450265, 38293.31520612154, 38293.31131561521, 38293.30742696488, 38293.30354015664, 38293.299655177085, 38293.299655177085]"
Site 2,Site 2_0000000001,25544,2020-04-11 21:27:10,2020-04-11 21:36:40,570.0,2020-04-11 21:32:00,2020-04-11 21:32:00,1246.6990929762637,15.131159807241714,"['2020-04-11 21:27:10', '2020-04-11 21:27:20', '2020-04-11 21:27:30', '2020-04-11 21:27:40', '2020-04-11 21:27:50', '2020-04-11 21:28:00', '2020-04-11 21:28:10', '2020-04-11 21:28:20', '2020-04-11 21:28:30', '2020-04-11 21:28:40', '2020-04-11 21:28:50', '2020-04-11 21:29:00', '2020-04-11 21:29:10', '2020-04-11 21:29:20', '2020-04-11 21:29:30', '2020-04-11 21:29:40', '2020-04-11 21:29:50', '2020-04-11 21:30:00', '2020-04-11 21:30:10', '2020-04-11 21:30:20', '2020-04-11 21:30:30', '2020-04-11 21:30:40', '2020-04-11 21:30:50', '2020-04-11 21:31:00', '2020-04-11 21:31:10', '2020-04-11 21:31:20', '2020-04-11 21:31:30', '2020-04-11 21:31:40', '2020-04-11 21:31:50', '2020-04-11 21:32:00', '2020-04-11 21:32:10', '2020-04-11 21:32:20', '2020-04-11 21:32:30', '2020-04-11 21:32:40', '2020-04-11 21:32:50', '2020-04-11 21:33:00', '2020-04-11 21:33:10', '2020-04-11 21:33:20', '2020-04-11 21:33:30', '2020-04-11 21:33:40', '2020-04-11 21:33:50', '2020-04-11 21:34:00', '2020-04-11 21:34:10', '2020-04-11 21:34:20', '2020-04-11 21:34:30', '2020-04-11 21:34:40', '2020-04-11 21:34:50', '2020-04-11 21:35:00', '2020-04-11 21:35:10', '2020-04-11 21:35:20', '2020-04-11 21:35:30', '2020-04-11 21:35:40', '2020-04-11 21:35:50', '2020-04-11 21:36:00', '2020-04-11 21:36:10', '2020-04-11 21:36:20', '2020-04-11 21:36:30', '2020-04-11 21:36:40', '2020-04-11 21:36:40']","[200.51644838164518, 199.56489757337002, 198.56539377812715, 197.51442980308565, 196.40823602006856, 195.24274055911349, 194.0135689843361, 192.71605224874318, 191.34518931544073, 189.8956953185965, 188.36198151750196, 186.73820360373003, 185.01833636365842, 183.19621397390947, 181.26565957739737, 179.22066159656646, 177.05552457793542, 174.76513993411186, 172.34532114584673, 169.7931089133699, 167.10720440696423, 164.28844288745398, 161.34017020104716, 158.26867592886703, 155.08354567142416, 151.7977513919658, 148.4276472304053, 144.99272721522632, 141.51499989626282, 138.01824307610025, 134.52709358042304, 131.06589944369122, 127.65781538679406, 124.32381305840866, 121.08204081379681, 117.94743038899233, 114.9314448810245, 112.04217614537441, 109.28461430795868, 106.66093731956131, 104.17097387176958, 101.81267555464973, 99.58248483418424, 97.47575602748454, 95.48711518872449, 93.61069002475777, 91.84036348112554, 90.16996941458278, 88.5933829551032, 87.10464038504469, 85.69802276032081, 84.36805894357526, 83.10959635852606, 81.91777629856762, 80.7880522798893, 79.71619815433958, 78.69827083906587, 77.73061173503083, 77.73061173503083]","[0.3383350681087974, 0.8754065275688445, 1.4214518795540565, 1.9767041181773723, 2.5413416536111417, 3.115484694124685, 3.6991677067938067, 4.292306473789682, 4.894683392003607, 5.5058908391399575, 6.125303419965622, 6.752018518272363, 7.384788248835418, 8.021966459078559, 8.66142635332753, 9.300473316285837, 9.935780428159623, 10.563306271474985, 11.178227219697288, 11.774918024184327, 12.346948861281453, 12.887138719889315, 13.38769924690997, 13.840438725884262, 14.237054734701232, 14.569521016889285, 14.830513318750732, 15.01385929816734, 15.11496734017681, 15.131159807241714, 15.061884474451478, 14.908757570401498, 14.675443252693432, 14.367375325950514, 13.991372422966915, 13.555199760001427, 13.067109953000042, 12.535435100534084, 11.968251638379748, 11.373109016011647, 10.756862775361222, 10.125587104066081, 9.48452823399962, 8.838128034878208, 8.190081295252094, 7.54338939935, 6.900447229989102, 6.263132277809866, 5.632867707294732, 5.0107029593539565, 4.397386331111255, 3.7934044311372, 3.1990518624460833, 2.6144537742999976, 2.0396098364248743, 1.474428746958799, 0.9187380181712063, 0.3723101551434598, 0.3723101551434598]","[2362.2305465974505, 2303.822926309527, 2245.9712014090483, 2188.726690928499, 2132.1461998897526, 2076.2911240955245, 2021.2286800807783, 1967.0331190297925, 1913.7847792499513, 1861.5724469004342, 1810.4924752928234, 1760.6500679327535, 1712.1604437532687, 1665.1481451645573, 1619.7480579540893, 1576.106142244232, 1534.3782883842075, 1494.7305062905148, 1457.338529798803, 1422.385467367479, 1390.0602808443934, 1360.5553524146144, 1334.062144805242, 1310.767324337517, 1290.848000829799, 1274.4657088363494, 1261.7611276592227, 1252.8487627005268, 1247.811875163722, 1246.6990929762637, 1249.5220417902187, 1256.2549281580425, 1266.8356112197985, 1281.1685868181614, 1299.1291172385531, 1320.5680099236429, 1345.3175921065492, 1373.1971479077456, 1404.0178154157825, 1437.5879954871227, 1473.7170852482973, 1512.2182352215762, 1552.9116991432304, 1595.6262096097093, 1640.1995819030496, 1686.4803965135518, 1734.3277603559936, 1783.6106354505607, 1834.2087067971656, 1886.0113852524744, 1938.9166152081132, 1992.8317617464436, 2047.671201721009, 2103.3573764598723, 2159.81938018917, 2216.99176690834, 2274.8153503319045, 2333.2360252276903, 2333.2360252276903]"
Site 2,Site 2_0000000002,40146,2020-04-11 21:24:00,2020-04-11 21:40:00,960.0,2020-04-11 21:40:00,2020-04-11 21:24:00,38080.19657586373,36.15737293245527,"['2020-04-11 21:24:00', '2020-04-11 21:24:10', '2020-04-11 21:24:20', '2020-04-11 21:24:30', '2020-04-11 21:24:40', '2020-04-11 21:24:50', '2020-04-11 21:25:00', '2020-04-11 21:25:10', '2020-04-11 21:25:20', '2020-04-11 21:25:30', '2020-04-11 21:25:40', '2020-04-11 21:25:50', '2020-04-11 21:26:00', '2020-04-11 21:26:10', '2020-04-11 21:26:20', '2020-04-11 21:26:30', '2020-04-11 21:26:40', '2020-04-11 21:26:50', '2020-04-11 21:27:00', '2020-04-11 21:27:10', '2020-04-11 21:27:20', '2020-04-11 21:27:30', '2020-04-11 21:27:40', '2020-04-11 21:27:50', '2020-04-11 21:28:00', '2020-04-11 21:28:10', '2020-04-11 21:28:20', '2020-04-11 21:28:30', '2020-04-11 21:28:40', '2020-04-11 21:28:50', '2020-04-11 21:29:00', '2020-04-11 21:29:10', '2020-04-11 21:29:20', '2020-04-11 21:29:30', '2020-04-11 21:29:40', '2020-04-11 21:29:50', '2020-04-11 21:30:00', '2020-04-11 21:30:10', '2020-04-11 21:30:20', '2020-04-11 21:30:30', '2020-04-11 21:30:40', '2020-04-11 21:30:50', '2020-04-11 21:31:00', '2020-04-11 21:31:10', '2020-04-11 21:31:20', '2020-04-11 21:31:30', '2020-04-11 21:31:40', '2020-04-11 21:31:50', '2020-04-11 21:32:00', '2020-04-11 21:32:10', '2020-04-11 21:32:20', '2020-04-11 21:32:30', '2020-04-11 21:32:40', '2020-04-11 21:32:50', '2020-04-11 21:33:00', '2020-04-11 21:33:10', '2020-04-11 21:33:20', '2020-04-11 21:33:30', '2020-04-11 21:33:40', '2020-04-11 21:33:50', '2020-04-11 21:34:00', '2020-04-11 21:34:10', '2020-04-11 21:34:20', '2020-04-11 21:34:30', '2020-04-11 21:34:40', '2020-04-11 21:34:50', '2020-04-11 21:35:00', '2020-04-11 21:35:10', '2020-04-11 21:35:20', '2020-04-11 21:35:30', '2020-04-11 21:35:40', '2020-04-11 21:35:50', '2020-04-11 21:36:00', '2020-04-11 21:36:10', '2020-04-11 21:36:20', '2020-04-11 21:36:30', '2020-04-11 21:36:40', '2020-04-11 21:36:50', '2020-04-11 21:37:00', '2020-04-11 21:37:10', '2020-04-11 21:37:20', '2020-04-11 21:37:30', '2020-04-11 21:37:40', '2020-04-11 21:37:50', '2020-04-11 21:38:00', '2020-04-11 21:38:10', '2020-04-11 21:38:20', '2020-04-11 21:38:30', '2020-04-11 21:38:40', '2020-04-11 21:38:50', '2020-04-11 21:39:00', '2020-04-11 21:39:10', '2020-04-11 21:39:20', '2020-04-11 21:39:30', '2020-04-11 21:39:40', '2020-04-11 21:39:50', '2020-04-11 21:40:00', '2020-04-11 21:40:00']","[64.06636891637126, 64.06633847237893, 64.06630804789938, 64.0662776431953, 64.06624725803582, 64.06621689267973, 64.06618654702507, 64.0661562209613, 64.06612591475059, 64.06609562828633, 64.06606536146292, 64.06603511454007, 64.06600488740808, 64.06597467996592, 64.06594449247117, 64.0659143248146, 64.06588417689531, 64.06585404896884, 64.06582394093043, 64.0657938526755, 64.06576378446003, 64.06573373617968, 64.06570370772985, 64.06567369936666, 64.06564371098511, 64.06561374248021, 64.06558379411089, 64.06555386564933, 64.06552395735056, 64.06549406911434, 64.0654642008328, 64.0654343527607, 64.06540452479767, 64.0653747168352, 64.06534492913084, 64.06531516157972, 64.0652854140782, 64.06525568687994, 64.06522597988149, 64.06519629297931, 64.06516662642791, 64.06513698012007, 64.06510735395648, 64.06507774818826, 64.06504816271243, 64.06501859742622, 64.06498905258141, 64.06495939451611, 64.06493002380495, 64.06490054002208, 64.06487107650575, 64.06484163350628, 64.0648122109245, 64.06478280865457, 64.06475342694712, 64.06472406570332, 64.06469472481753, 64.06466540453974, 64.06463610477121, 64.06460682540578, 64.0645775666962, 64.06454832853925, 64.06451911083371, 64.0644899138287, 64.06446073742151, 64.06443158151174, 64.06440244634739, 64.06437333182707, 64.0643442378493, 64.06431516466243, 64.06428624560716, 64.06425708025603, 64.06422806918305, 64.06419907872746, 64.06417010914032, 64.06414116031678, 64.0641122321564, 64.06408332490805, 64.06405443847117, 64.06402557274272, 64.06399672796861, 64.06396790405229, 64.06393910088975, 64.06391031872619, 64.0638815574655, 64.0638528170025, 64.06382409758581, 64.06379539911417, 64.06376672148801, 64.06373806495122, 64.06370942940433, 64.06368081474773, 64.06365222122538, 64.06362364862181, 64.06359509718472, 64.0635665668102, 64.06353805739978, 64.06353805739978]","[36.15737293245527, 36.15734830367178, 36.15732366940999, 36.157299029879006, 36.15727438489609, 36.157249734674394, 36.15722507912293, 36.157200418160556, 36.15717575199627, 36.157151080544395, 36.15712640371844, 36.15710172172976, 36.15707703449633, 36.157052341926715, 36.15702764423416, 36.15700294133636, 36.15697823314186, 36.15695351986583, 36.15692880142101, 36.156904077720384, 36.15687934897805, 36.156854615106624, 36.156829876019124, 36.1568051319292, 36.15678038275024, 36.156755628396, 36.156730869076405, 36.15670610460827, 36.15668133520561, 36.156656560776895, 36.156631781239284, 36.156606996806765, 36.15658220738804, 36.15655741290131, 36.15653261355683, 36.15650780926865, 36.156482999949574, 36.15645818581391, 36.156433366774195, 36.156408542743385, 36.156383713934275, 36.156358880263916, 36.156334041640676, 36.156309198280674, 36.156284350096385, 36.15625949700025, 36.15623463920723, 36.15620992718161, 36.15618490918029, 36.15616003707375, 36.15613516012214, 36.1561102785413, 36.15608539223983, 36.156060501134135, 36.156035605439314, 36.15601070506376, 36.15598579992385, 36.155960890234866, 36.155935975905344, 36.15591105685244, 36.15588613328783, 36.15586120512533, 36.155836272276666, 36.15581133495724, 36.155786393080334, 36.155761446557065, 36.15573649560353, 36.15571154013182, 36.155686580054365, 36.15566161558641, 36.15563649598959, 36.155611673128256, 36.15558669526582, 36.15556171286567, 36.15553672613914, 36.15551173500276, 36.15548673936837, 36.155461739449315, 36.15543673515743, 36.15541172640774, 36.1553867134164, 36.15536169609091, 36.15533667434762, 36.15531164840297, 36.155286618164205, 36.155261583549134, 36.15523654476991, 36.15521150173975, 36.15518645437036, 36.15516140287872, 36.1551363471762, 36.15511128717482, 36.155086223090876, 36.15506115473642, 36.155036082323306, 36.15501100576827, 36.15498592498234, 36.15498592498234]","[38080.602529247226, 38080.5982130495, 38080.593898605875, 38080.5895859535, 38080.58527505983, 38080.58096596168, 38080.57665864441, 38080.572353092546, 38080.56804934328, 38080.563747381515, 38080.5594471923, 38080.55514881254, 38080.55085222688, 38080.546557420756, 38080.542264430886, 38080.537973241975, 38080.533683839465, 38080.5293962599, 38080.52511048839, 38080.52082651, 38080.51654436136, 38080.51226402759, 38080.50798549381, 38080.5037087966, 38080.49943392102, 38080.49516085217, 38080.49088962691, 38080.4866202129, 38080.482352646635, 38080.47808691362, 38080.47382299869, 38080.469560938276, 38080.46530071792, 38080.46104232236, 38080.4567857883, 38080.45253110088, 38080.448278245225, 38080.44402725773, 38080.43977812365, 38080.43553082814, 38080.4312854077, 38080.42704184717, 38080.42280013214, 38080.418560298756, 38080.41432233228, 38080.41008621798, 38080.405851992065, 38080.40160731834, 38080.39738914651, 38080.3931605483, 38080.388933813534, 38080.38470897826, 38080.380486028065, 38080.376264948, 38080.37204577409, 38080.367828492024, 38080.36361308679, 38080.35939959443, 38080.35518800063, 38080.35097829028, 38080.3467704997, 38080.34256461418, 38080.33836061906, 38080.33415855033, 38080.32995839329, 38080.32576013339, 38080.32156380654, 38080.3173693981, 38080.31317689346, 38080.308986328535, 38080.30480999333, 38080.300610959435, 38080.296426176516, 38080.292243308446, 38080.288062391395, 38080.283883410426, 38080.27970635103, 38080.27553124915, 38080.271358090264, 38080.26718685964, 38080.26301759288, 38080.2588502759, 38080.25468489383, 38080.25052148228, 38080.24636002711, 38080.24220051339, 38080.238042977064, 38080.2338874035, 38080.229733778266, 38080.22558213688, 38080.22143246488, 38080.217284747865, 38080.213139021296, 38080.20899525399, 38080.204853481744, 38080.20071368976, 38080.19657586373, 38080.19657586373]"
