Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
Mamalluca Falcon,90003,2018-12-02T06:24:00Z,2018-12-02T06:25:20Z,2018-12-02T06:24:00Z,2018-12-02T06:24:00Z,1228,20
UNSW Falcon,90004,2018-12-02T15:52:10Z,2018-12-02T15:55:00Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,723,43
RMIT ROO,90004,2018-12-02T15:52:10Z,2018-12-02T15:55:20Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,892,32
Stromlo Optical,90002,2018-12-02T15:52:10Z,2018-12-02T15:53:40Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,729,42
UNSW Falcon,90003,2018-12-02T15:52:10Z,2018-12-02T15:55:00Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,723,43
RMIT ROO,90003,2018-12-02T15:52:10Z,2018-12-02T15:55:20Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,892,32
UNSW Falcon,90002,2018-12-02T15:52:10Z,2018-12-02T15:55:00Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,723,43
RMIT ROO,90002,2018-12-02T15:52:10Z,2018-12-02T15:55:20Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,892,32
Stromlo Optical,90001,2018-12-02T15:52:10Z,2018-12-02T15:53:40Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,728,42
UNSW Falcon,90001,2018-12-02T15:52:10Z,2018-12-02T15:55:00Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,723,43
RMIT ROO,90001,2018-12-02T15:52:10Z,2018-12-02T15:55:20Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,892,32
Stromlo Optical,90003,2018-12-02T15:52:10Z,2018-12-02T15:53:40Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,728,42
Stromlo Optical,90004,2018-12-02T15:52:10Z,2018-12-02T15:53:40Z,2018-12-02T15:52:10Z,2018-12-02T15:52:10Z,728,42
RMIT ROO,90003,2018-12-02T17:26:50Z,2018-12-02T17:29:00Z,2018-12-02T17:27:10Z,2018-12-02T17:27:10Z,1526,13
RMIT ROO,90004,2018-12-02T17:26:50Z,2018-12-02T17:29:00Z,2018-12-02T17:27:10Z,2018-12-02T17:27:10Z,1526,13
RMIT ROO,90002,2018-12-02T17:26:50Z,2018-12-02T17:29:00Z,2018-12-02T17:27:10Z,2018-12-02T17:27:10Z,1526,13
RMIT ROO,90001,2018-12-02T17:26:50Z,2018-12-02T17:29:00Z,2018-12-02T17:27:10Z,2018-12-02T17:27:10Z,1526,13
