Year (TT),Month (TT),Day (0h TT),MJD (0h TT),X [arcsec],Y [arcsec],s [arcsec]
1980,3,8,44306,-400.67404183110600,-8.25692005373300,-0.00944175320460
1980,3,9,44307,-400.63067248190600,-8.27580283260900,-0.00946098574148
1980,3,10,44308,-400.57426500194100,-8.28735925793900,-0.00947345289871
1980,3,11,44309,-400.50828081515600,-8.28601425208100,-0.00947362634394
1980,3,12,44310,-400.43873987974600,-8.26785030139300,-0.00945750946255
1980,3,13,44311,-400.37367973535500,-8.23215495980300,-0.00942419739738
1980,3,14,44312,-400.32159393641400,-8.18285705877000,-0.00937734184795
1980,3,15,44313,-400.28874503035600,-8.12894040132900,-0.00932560273754
1980,3,16,44314,-400.27610484687600,-8.08271138798700,-0.00928097544501
1980,3,17,44315,-400.27774620771400,-8.05566923158100,-0.00925475619830
1980,3,18,44316,-400.28241680683500,-8.05369670164800,-0.00925283447793
1980,3,19,44317,-400.27800976519100,-8.07452365910500,-0.00927319051892
1980,3,20,44318,-400.25634503819800,-8.10911921480500,-0.00930720508438
1980,3,21,44319,-400.21554119091800,-8.14583615753900,-0.00934364202263
1980,3,22,44320,-400.15932812779900,-8.17459337696900,-0.00937268326995
1980,3,23,44321,-400.09462799438100,-8.18922838779400,-0.00938822051892
1980,3,24,44322,-400.02905532471200,-8.18787145762800,-0.00938826163959
1980,3,25,44323,-399.96919630713800,-8.17214170836500,-0.00937420980816
1980,3,26,44324,-399.91974958476300,-8.14597607846200,-0.00934977482222
1980,3,27,44325,-399.88326168623800,-8.11454490255900,-0.00931993817963
1980,3,28,44326,-399.86017106463900,-8.08337618185400,-0.00929008958365
1980,3,29,44327,-399.84900393169500,-8.05764982293400,-0.00926531208647
1980,3,30,44328,-399.84667708025900,-8.04161207779900,-0.00924978717468
1980,3,31,44329,-399.84890631161500,-8.03809080781100,-0.00924631417297
1980,4,1,44330,-399.85073190961700,-8.04813033931500,-0.00925596344670
1980,4,2,44331,-399.84714940788600,-8.07080930792000,-0.00927791502620
1980,4,3,44332,-399.83378093831100,-8.10329766199100,-0.00930952188061
1980,4,4,44333,-399.80750500229100,-8.14115618476600,-0.00934658920204
1980,4,5,44334,-399.76697966269100,-8.17885886109200,-0.00938384914406
1980,4,6,44335,-399.71299848085000,-8.21051190830400,-0.00941561645686
1980,4,7,44336,-399.64862924134500,-8.23072330353600,-0.00943660005033
1980,4,8,44337,-399.57909201000200,-8.23559176311600,-0.00944286062379
1980,4,9,44338,-399.51126543894800,-8.22379113531700,-0.00943289987063
1980,4,10,44339,-399.45262952819200,-8.19759081314600,-0.00940871639973
1980,4,11,44340,-399.40952224567600,-8.16339765957400,-0.00937639987999
1980,4,12,44341,-399.38489023454000,-8.13118900454100,-0.00934562161365
1980,4,13,44342,-399.37627827771500,-8.11225495702700,-0.00932743987358
1980,4,14,44343,-399.37539301257500,-8.11537977618300,-0.00933055274936
1980,4,15,44344,-399.37036260389900,-8.14298642919300,-0.00935750188202
1980,4,16,44345,-399.35021166742000,-8.18964084062800,-0.00940317462235
1980,4,17,44346,-399.30918239833700,-8.24420591880500,-0.00945686294288
1980,4,18,44347,-399.24841094752900,-8.29441055361900,-0.00950667732683
1980,4,19,44348,-399.17443576939600,-8.33108678363300,-0.00954365178826
1980,4,20,44349,-399.09606892477500,-8.35014750485100,-0.00956367938447
1980,4,21,44350,-399.02153980691200,-8.35227549659400,-0.00956725259044
1980,4,22,44351,-398.95685268107000,-8.34142171995500,-0.00955805798553
1980,4,23,44352,-398.90529701111400,-8.32316447562400,-0.00954142098184
1980,4,24,44353,-398.86763879711300,-8.30344474837500,-0.00952308602601
1980,4,25,44354,-398.84256006130800,-8.28774201172600,-0.00950839862843
1980,4,26,44355,-398.82711934020600,-8.28055187339300,-0.00950177183306
1980,4,27,44356,-398.81718641148300,-8.28502052597600,-0.00950631400278
1980,4,28,44357,-398.80788673557100,-8.30265510578400,-0.00952354695786
1980,4,29,44358,-398.79411248567100,-8.33309806389700,-0.00955319787630
1980,4,30,44359,-398.77114049666000,-8.37402971078400,-0.00959311426345
1980,5,1,44360,-398.73533036048000,-8.42130449608600,-0.00963939139480
1980,5,2,44361,-398.68480027906000,-8.46939430691800,-0.00968677785906
1980,5,3,44362,-398.61994230417500,-8.51214898282000,-0.00972937507627
1980,5,4,44363,-398.54363143065600,-8.54381713630400,-0.00976159096903
1980,5,5,44364,-398.46100883930100,-8.56018449708300,-0.00977922761821
